# This file is part of the supplement to Brune, Williams, Müller: "Potential links between continental rifting, CO2 degassing and climate change through geological time", Nature Geoscience, 2017). 
# For a discussion of how the table was constructed, see the supplementary material of the publication above.
# A map of all rifts including their Region, ID, Time, and Length (visualized via circle size) is provided as separate supplementary figure.
# The table is based on the rift compilation of Şengör, A.M.C., and Natal’in, B.A., 2001: "Rifts of the World", Geological Society of America Special Papers, v. 352, p.389-482, doi: 10.1130/0-8137-2352-3.389
# 
Region,ID,Long_Min,Long_Max,Lat_Min,Lat_Max,Orientation,Name,Length,Width,Old_Age,Young_Age,Kinematic_Type_1,Geometric_Type_1,Kinematic_Type_2,Geometric_Type_2
WEUR,105,-7,-5.5,54.75,55.75,NE,Lough Foyle-Islay,130,30,Permian,,k423,g4,,
WEUR,106,1,6,54,57.75,NNW,Central graben,450,120,Late Carboniferous,Permian,k421,g1,k423,g1
WEUR,107,0,5.5,49.5,55,NNW,West Netherlands,600,120,Late Carboniferous,Permian,k421,g1,k423,g1
WEUR,108,6.5,8,54.5,56.75,"N,NNE",Horn,225,35,Late Carboniferous,Permian,k421,g1,k422,g1
WEUR,109,8,11,58,61,NNE,Oslo Rift,400,35,Late Carboniferous,Permian,k421,g1,k422,g1
WEUR,110,-2,,51.5,52.75,N,Worcester basin,180,30,Late Carboniferous,Permian,k421,g1,k422,g1
WEUR,111,8.5,10,51.5,52,"N,NNW,NE",Hessian depression,120,55,Late Carboniferous,Triassic,k423,g4,,
WEUR,112,-14,-11.5,50,53,"N,NNE",Porcupine Trough,360,180,Gzhelian,,k421,g1,k33,g1
WEUR,113,8,10,69,71,NNE,Harstad,220,25,Late Carboniferous,,k31,g1,k32,g3
WEUR,114,1.5,8.5,64.5,67.5,NE,Voring,240,210,Late Carboniferous,,k32,g3,,
WEUR,115,-15,-8,66.5,68,NE,Vestfjord,200,50,Late Carboniferous,,k32,g3,,
WEUR,116,26,37,55,56,NE,Nordkapp,450,80,Early Carboniferous,,k31,g1,k31,g3
WEUR,117,-5,-2,55,56,"ENE,NNW",Solway,220,40,Early Carboniferous,Permian,k31,g1,k423,g3
WEUR,118,-6,-1.5,60,62.5,NW,West Shetland,220,60,Late Devonian,Late Jurassic,k31,g1,k21,g3
WEUR,119,-11,-3,63,67,NE,Helgeland,440,130,Early Devonian,,k31,g1,k32,g4
WEUR,120,5,,61.83,,E,Solund,35,38,Early Devonian,,k32,g4,,
WEUR,121,5,,61.83,,E,Kvamshesten,22,5,Early Devonian,,k32,g4,,
WEUR,122,5,,61.83,,E,Hastainen,12,5,Early Devonian,,k32,g4,,
WEUR,123,5,,61.83,,E,Hornelen,65,20,Early Devonian,,k32,g4,,
WEUR,124,6.5,1.5,62,64,NNE,More Basin,400,100,Devonian,Cretaceous,k31,g3,k421,g3
WEUR,125,-8.5,-7,56.5,59,NNE,West Hebrides,70,20,Devonian,Early Permian,k31,g3,,
WEUR,126,-10,-6,55,57.5,NE,Malin Sea,320,60,Devonian,,k31,g3,,
WEUR,127,-8,-6,56.5,58,NE,Minches basins,130,60,Devonian,,k31,g3,,
WEUR,128,-4.5,-1.5,58,59.5,NE,Western Orkney,180,80,Devonian,Early Permian,k31,g3,,
WEUR,129,-6.5,-3.5,58.75,60,NE,Orcadian Basin,160,30,Devonian,Permian,k31,g3,,
WEUR,130,-10.5,0,54,58,ENE,Midland Valley,800,100,Late Silurian,Early Devonian,k31,g3,,
EEUR,1,80,90,28,34,"N,E",Tibet,1100,950,Pliocene,,k22,g4,,
EEUR,2,87,,33,,N,Jangngai,40,65,Pliocene,,k22,g4,,
EEUR,3,83.83,84.17,30,31,N,Thakkola,100,20,Pliocene,,k22,g1,,
EEUR,4,80,81,31.5,33,NW,Garyarsa,200,20,Pliocene,,k32,g3,,
EEUR,5,82.5,,30.75,32.33,N,Yagra,170,20,Pliocene,,k22,g1,,
EEUR,6,83,84,30,32,N,Lunggar,200,30,Pliocene,,k22,g3,,
EEUR,7,86,87,28,32,N,Bangkor,400,20,Pliocene,,k22,g3,,
EEUR,8,88,88.5,27.5,30.75,NNE,Xainza,380,15,Pliocene,,k22,g3,,
EEUR,9,89,90.5,27,30,NNE,Yadong,400,30,Pliocene,,k22,g3,,
EEUR,10,107,115,34,40,"70,25",Shanxi,960,90,Pliocene,,k3,g3,k32,g3
EEUR,11,147,151,54,56,305,Okhotsk,180,120,Pliocene,,k22,,,
EEUR,12,38.67,,39.33,,ENE,Hazar,10,2.5,Pliocene,,k32,g1,,
EEUR,13,28.25,29.25,38.75,39.17,ESE,Simav,100,10,Pliocene,,k411kg4,k422,g4
EEUR,14,26,27.5,38.75,39.25,ENE,Edremit,130,30,Pliocene,,k411,g4,k422,g4
EEUR,15,27.25,28.5,38,,E,Kucuk,100,15,Pliocene,,k411,g4,k422,g4
EEUR,16,41.25,,39,,E,Karliova,9,6,Pliocene,,k5,g1,,
EEUR,17,35.3,,32.33,33.17,N,Hula,110,20,Pliocene,,k32,g1,,
EEUR,18,35.5,,31,31.83,N,Dead Sea,100,25,Pliocene,,k32,g1,,
EEUR,19,35,,28,29.5,NNE,Elat,150,25,Pliocene,,k32,g1,,
EEUR,20,27,28.5,36.75,37,E,Gokova,120,25,Pliocene,,k411,g4,k422,g4
EEUR,21,27,28.25,38.75,39.25,ENE,Bakircay,75,15,Late Miocene,early Pliocene,k411,g4,k422,g4
EEUR,22,36,38,40.67,,NNW,Havza,150,5,Late Miocene,Pliocene,k32,g3,,
EEUR,23,27.25,29,39.33,,NNW,Erzincan,50,20,Late Miocene,Pliocene,k32,g1,,
EEUR,24,35,37,35.5,36.75,NE,Hatay-Adana,250,100,middle Miocene,,k5,g1,,
EEUR,25,27,29,38,38.33,"E,ESE",Alasehir,200,20,Late Miocene,,k411,g4,k422,g4
EEUR,26,27.25,29,37.5,37.83,"E,NE",Buyuk,200,20,Late Miocene,,k411,g4,k422,g4
EEUR,27,35,36.5,35.5,36.75,N,Akcakale,120,20,Late Miocene,,k412,g1,k42,g1
EEUR,28,38.5,,37,,NNW,Suruc,30,20,Late Miocene,,k412,g1,k42,g1
EEUR,28a,95,97,12,25,N,Burma,1000,250,Miocene,,k411,g1,k411,g3
EEUR,29,74.5,77,8.5,12.5,NNW,Kerala,400,100,middle Eocene,,k421,g3,,
EEUR,30,122,125.33,12,15,310,Ragay Samar,450,100,Miocene,,k32,g1,,
EEUR,31,122,,11,14.5,N,South Mindoro,250,60,Oligocene,early Miocene,k411,g1,,
EEUR,32,121,121.5,14.5,17,335,Luzon,500,50,Oligocene,early Miocene,k411,g1,k32,g1
EEUR,33,135,138,50,56,20,Evoron,250,40,Oligocene,Miocene,k32,g4,,
EEUR,34,143,144,59,60,335,Kukhtuy,125,50,Miocene,,k32,,,
EEUR,35,143,152,57,59,90,North Okhotsk,470,120,late Oligocene,Miocene,k42,,,
EEUR,36,34,44,13.5,28,NNW,Red Sea,1800,70,late Oligocene,Miocene,k1,g2,,
EEUR,37,43,60,13,22,ENE,Gulf of Aden,1700,250,early Oligocene,Miocene,k1,g2,,
EEUR,38,111,115,-6.67,-8,E,Madura,470,100,Neogene,,k411,g1,,
EEUR,39,120.5,121.5,-4.5,-2.5,,Bone,250,80,Neogene,,k411,g1
EEUR,40,108.5,110.33,3.5,7,NNW,Outer,300,50,Neogene,,k32,g1,,
EEUR,41a,97,98,50.5,51.5,10,Busingol,90,15,Oligocene,,k31,g1,,
EEUR,41b,99,100,50,52,0,Hubsugul,120,30,Oligocene,,k31,g1,,
EEUR,41c,101,103,51,52,90,Tunka,90,30,Oligocene,,k31,g1,,
EEUR,41d,104,110,52,56,"55,20",Lake Baykal,650,75,Oligocene,,k31,g3,,
EEUR,41e,100,113,56,57,55,Upper Angara,127,35,Oligocene,,k31,g1,,
EEUR,41f,100,101,53,55,35,Barguzin,187,30,Oligocene,,k31,g1,,
EEUR,41g,114,116,57,,90,Muya,110,50,Oligocene,,k31,g1,,
EEUR,41h,117,120,57,58,55,Chara,110,35,Oligocene,,k31,g1,,
EEUR,42,120.5,121.5,-5,1,,Makassar,600,200,Oligocene,Neogene,k411,g1,,
EEUR,43,107,120.67,18,25,ENE,Hainan,1100,500,Oligocene,,k33,g4,,
EEUR,44,108.75,110.25,2,4.5,NNW,Sokong,200,50,Oligocene,,k411,g1,k32,g1
EEUR,45,104,108.67,3.17,7.5,ENE,Penyu,600,220,Oligocene,,k32,g1,,
EEUR,46,102,104.67,6,8,NW,Malaya,400,150,Oligocene,,k32,g1,,
EEUR,47,100,103.75,7,12,"N,NNW",Gulf of Thailand,700,180,Oligocene,,k32,g1,,
EEUR,48,109,,9,,NE,Saigon,300,100,Eocene,,k32,g1,,
EEUR,49,160,164,61,63,55,Gizhiga,250,85,Eocene,,k42,,,
EEUR,50,151,155,59,60,90,Yama,200,75,Eocene,,k42,,,
EEUR,51,145,150,59,60,90,Tauy,250,125,Eocene,,k42,,,
EEUR,52,132,142,73,76,330,Belkov,500,70,late Eocene,,k1,g3,,
EEUR,53,96,98,4,9,NW,Northern Sumatra,500,200,Eocene,,k32,g1,,
EEUR,54,98,110,0.5,4,NW,Central Sumatra,400,150,Eocene,,k32,g1,,
EEUR,55,105.5,109,9,1,E,Vung Tau,200,50,Eocene,,k32,g1,,
EEUR,56,116,120,4,6,NE,Tarakan,300,100,Eocene,,k32,g1,,
EEUR,57,115,117.5,0,1,E,Kutei,260,50,Paleocene,,k411,g1,,
EEUR,58,110,115,13,18,E,Parecel,600,600,Paleogene,,k33,g4,,
EEUR,59,72,74,20,27,NNW,Cambay,250,50,late Paleocene,early Eocene,k1,g2,,
EEUR,60,114,124,35,42,"30,80,50",Bohai,1250,450,Paleocene,Eocene,k31,g4,k32,g4
EEUR,61,118,125,33,37,50,South Yellow Sea,660,240,Paleocene,Eocene,k411,g3,k32,g4
EEUR,62,118,128,24,34,40,East China Sea,1470,270,Paleocene,Eocene,k411,g3,,
EEUR,63,107,118,22,27,75,Pearl River Mouth,980,330,Paleocene,Eocene,k411,g3,,
EEUR,64,70,73,17,21,NNW,Bombay,550,280,Late Cretaceous,Paleocene,k1,g2,,
EEUR,65a,131,135,72,76,345,Omoloysk,240,40,Late Cretaceous,Cenozoic,k1,,,
EEUR,65b,133,147,63,72,"305,330",Moma cluster,1000,250,Oligocene,Holocene,k1,,,
EEUR,66,120,29,73,74,315,Ust-Lena,500,300,Late Cretaceous,Cenozoic,k1,,,
EEUR,67,-170,150,74,79,"285,315",North Chukchi,1300,300,Late Cretaceous,Paleogene,k22,g3,,
EEUR,68,172,176,71,75,25,Vikitsky,440,70,Late Cretaceous,Paleogene,k22,g3,,
EEUR,69,165,175,67,70,295,Hope,900,240,Late Cretaceous,Paleogene,k31,g4,,
EEUR,70,130,137,47,50,45,Middle Amur,240,120,Late Cretaceous,Miocene,k32,g4,,
